Adjusted date,Position,Seniority,Location,Studio,Client,Project,Team Name,Engagement,Year,Month,Day
01Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.9,2023,1,1
01Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.31,2023,1,1
01Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,1
01Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,1
01Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.26,2023,1,1
01Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,1
02Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.17,2023,1,2
02Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.92,2023,1,2
02Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4.45,2023,1,2
02Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,4.45,2023,1,2
02Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.46,2023,1,2
02Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,2
03Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.08,2023,1,3
03Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.97,2023,1,3
03Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.9,2023,1,3
03Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.9,2023,1,3
03Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.37,2023,1,3
03Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,3
04Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.78,2023,1,4
04Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.31,2023,1,4
04Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.85,2023,1,4
04Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.85,2023,1,4
04Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.38,2023,1,4
04Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,4
05Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.83,2023,1,5
05Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.06,2023,1,5
05Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.8,2023,1,5
05Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.8,2023,1,5
05Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.73,2023,1,5
05Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,5
06Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.83,2023,1,6
06Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.73,2023,1,6
06Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.75,2023,1,6
06Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.75,2023,1,6
06Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.09,2023,1,6
06Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,-1,2023,1,6
07Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.13,2023,1,7
07Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.88,2023,1,7
07Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.7,2023,1,7
07Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.7,2023,1,7
07Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.82,2023,1,7
07Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,7
08Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.8,2023,1,8
