feature,coef
Seniority_Sr Level 2,-1.581847633710684
Seniority_Ssr,-1.5770178998703264
Position_Cybersecurity Specialist,-0.9727519212346577
Location_CO/ANT/MED,-0.8209048426678444
Position_Visual Designer,-0.7900584572938274
Position_Project Manager,-0.7698143750944084
Seniority_Sr Level 1,-0.7479915225627595
Project Tag_STYPRJ,-0.6418711071327532
Position_DevOps Engineer,-0.5499317719323245
Position_Software Developer,-0.4440440122187038
Position_Quality Assurance Tester,-0.44075035883051467
Project Tag_ECOSYS,-0.41361636090749954
Seniority_Sr Level 3,-0.29004965952049877
Position_Solutions Architect,-0.2900496595204981
Project Tag_NEXDEV,-0.04610623158766135
Position_Technology Consultant,0.04825876018221323
Project Tag_HOREXP,0.062812112145779
Project Tag_ODYQST,0.1123153509582184
Project Tag_CATPRO,0.1590909021830305
Project Tag_VGRDIN,0.15921207917342942
Position_User Experience Designer,0.18208481905751994
Position_Business Intelligence,0.1902387755918686
Location_CL/RM/SCL,0.21701837489557474
Position_Test Automation Engineer,0.23565950007613623
Position_Data Analyst,0.2699466744764268
Location_MX/CDMX/CDMX,0.31000887222286716
Location_MX/JALISCO/GDL,0.5044486912477079
Position_Database Administrator,0.7132073349167888
Position_Product Owner,0.7368665227266521
Location_CO/CUN/BOG,0.9291978925563361
