feature,coef
Seniority_Ssr,-0.2353947918750292
Seniority_Sr Level 2,-0.23228025085145237
Position_Visual Designer,-0.2254009576324693
Position_Project Manager,-0.1995815635152908
Location_MX/JALISCO/GDL,-0.16060191393338102
Seniority_Sr Level 1,-0.14521252750834462
Position_User Experience Designer,-0.13982258934952935
Position_Software Developer,-0.11928402404278779
Position_Quality Assurance Tester,-0.09457656059199002
Position_Cybersecurity Specialist,-0.05126949145377679
Location_CO/ANT/MED,-0.013213034185299857
Position_Business Intelligence,-0.0007944104259297506
Position_Test Automation Engineer,0.0008299840122220123
Position_DevOps Engineer,0.006823710063101852
Location_CL/RM/SCL,0.007427299031218887
Position_Data Analyst,0.008310379217332395
Position_Technology Consultant,0.017649895321003632
Seniority_Sr Level 3,0.024500257400524115
Position_Solutions Architect,0.02450025740052426
Project Tag_HOREXP,0.026109872271455087
Project Tag_STYPRJ,0.026423743159625486
Location_MX/CDMX/CDMX,0.03680444511271916
Position_Database Administrator,0.05257716635292496
Project Tag_VGRDIN,0.06985265490989157
Project Tag_ECOSYS,0.0701938677912658
Position_Product Owner,0.1052263792329866
Project Tag_ODYQST,0.11978147688263259
Project Tag_NEXDEV,0.1298253785322507
Project Tag_CATPRO,0.13089593849056128
Location_CO/CUN/BOG,0.13689310847678907
