feature,importance
Seniority_Ssr,0.1163973633028143
Location_CO/ANT/MED,0.09759396627363133
Seniority_Sr Level 1,0.07227805656554846
Project Tag_CATPRO,0.0588203771658997
Project Tag_STYPRJ,0.05491088635274019
Position_Visual Designer,0.0508568846684111
Location_CO/CUN/BOG,0.0499158859731157
Location_CL/RM/SCL,0.0499006446295598
Seniority_Sr Level 2,0.04391613694377682
Position_Software Developer,0.043372452805810396
Position_Cybersecurity Specialist,0.041177259202011915
Location_MX/CDMX/CDMX,0.036792056572787134
Project Tag_VGRDIN,0.03397587494999561
Position_Project Manager,0.03017209102181359
Project Tag_NEXDEV,0.029808900925626027
Project Tag_HOREXP,0.0297018357501569
Project Tag_ECOSYS,0.029032855146857196
Position_Test Automation Engineer,0.02464541354073047
Project Tag_ODYQST,0.023875355462442713
Position_DevOps Engineer,0.02265022609799523
Position_Quality Assurance Tester,0.020024731543626224
Position_Data Analyst,0.01512733862570455
Seniority_Sr Level 3,0.007427820606913799
Position_Solutions Architect,0.005780984670725003
Position_User Experience Designer,0.003454919478978341
Position_Database Administrator,0.0027147898382197926
Location_MX/JALISCO/GDL,0.002387097960587295
Position_Technology Consultant,0.0018018569490239889
Position_Product Owner,0.001153693787134057
Position_Business Intelligence,0.0003322431873623613
