feature,importance
Seniority_Ssr,0.13806328475159763
Project Tag_NEXDEV,0.09699845138653423
Location_CO/CUN/BOG,0.09444571657375579
Position_Software Developer,0.08888875520238612
Location_MX/CDMX/CDMX,0.08713839054035903
Position_Test Automation Engineer,0.05567774592281478
Project Tag_CATPRO,0.04850909329543088
Location_CL/RM/SCL,0.03694582489136452
Project Tag_HOREXP,0.03517660881452497
Project Tag_ECOSYS,0.03167607189981877
Position_Project Manager,0.028306049730141305
Project Tag_VGRDIN,0.02671250442047931
Location_CO/ANT/MED,0.025117202461922058
Seniority_Sr Level 1,0.0241873976013072
Project Tag_STYPRJ,0.02333210213972863
Project Tag_ODYQST,0.02294099558556072
Seniority_Sr Level 2,0.0219479633461449
Position_Data Analyst,0.019609529540884463
Position_Visual Designer,0.018256603094526848
Position_Quality Assurance Tester,0.017183141468178356
Position_Database Administrator,0.012366442774447364
Location_MX/JALISCO/GDL,0.008231612905561929
Position_Solutions Architect,0.007180259927038738
Position_User Experience Designer,0.006829380130372199
Seniority_Sr Level 3,0.006801065194219735
Position_DevOps Engineer,0.006341829822140559
Position_Cybersecurity Specialist,0.004530016325577045
Position_Product Owner,0.003565299891303978
Position_Business Intelligence,0.0021227322090588063
Position_Technology Consultant,0.000917928152819243
