Project Tag,Seniority,n_registros,prob_mejorar,prob_empeorar,engagement_estacionario
CATPRO,Sr Level 3,126,0.34801864801864807,0.0820814479638009,4.539858906525573
ODYQST,Jr,126,0.44306220095693777,0.046696528555431126,4.4799999999999995
HOREXP,Sr Level 3,124,0.3464285714285714,0.15384808853118712,4.138211382113822
ECOSYS,Sr Level 1,126,0.2574074074074074,0.17777777777777778,3.890459639942203
ECOSYS,Jr,123,0.2441958041958042,0.07804846316474223,3.596401028277638
CATPRO,Sr Level 1,991,0.22908061591548937,0.14279790069651227,3.511285872206263
NEXDEV,Jr,458,0.28103383942695276,0.1418037499935253,3.4784486294572963
NEXDEV,Sr Level 1,1129,0.3040562919325806,0.22481375809845278,3.4434406400990825
VGRDIN,Sr Level 1,161,0.3699984923865521,0.2824242424242424,3.4097859327217095
ODYQST,Sr Level 1,377,0.2776516881722107,0.18133414637411974,3.3632098616057498
VGRDIN,Jr,370,0.3336615127755117,0.16664192327953645,3.3260939628557677
ECOSYS,Sr Level 3,122,0.22071176157863462,0.11857876296864234,3.1074380165289286
ECOSYS,Sr Level 2,252,0.31317850637522765,0.2607682417229187,3.0931748614198975
HOREXP,Ssr,358,0.1636968274292218,0.2325423246550007,3.0083573898635407
ODYQST,Sr Level 2,252,0.28692211014791663,0.35830169830169833,2.87696925212647
ATLINT,Jr,116,0.24739960500329167,0.23094140882159317,2.8521739130434787
CATPRO,Sr Level 2,533,0.21443260188087776,0.2102861381133514,2.8467969839276916
STYPRJ,Ssr,362,0.3042605061527745,0.2111977979249247,2.8255697932792003
VGRDIN,Ssr,457,0.23543471403588173,0.2747741094587696,2.8044484034764405
ATLINT,Sr Level 1,276,0.2764937231844907,0.36361361108302154,2.7710693133319007
NEXDEV,Sr Level 2,231,0.34923976608187135,0.2760233918128655,2.720524017467249
NEXDEV,Ssr,552,0.2255672865426635,0.3357288226243935,2.5641217457364878
CATPRO,Ssr,752,0.22703731828608245,0.29368142476514103,2.4440961437398148
HOREXP,Sr Level 1,368,0.09557247814052042,0.14159134688608535,2.4421162663133957
STYPRJ,Sr Level 1,368,0.20163951545530492,0.2931974327853176,2.331741671516414
STYPRJ,Sr Level 2,375,0.16372145138169109,0.28867716758407375,2.278232631997034
HOREXP,Jr,126,0.11545489740611692,0.08050540245662197,2.2256857855361574
VGRDIN,Sr Level 2,246,0.19892631246046805,0.4258886780518659,2.215021621333189
ATLINT,Ssr,742,0.11732103035543621,0.2810096824117775,2.1000779987944247
ECOSYS,Ssr,246,0.20260107643417405,0.20722187865045005,2.0723385361521913
ODYQST,Ssr,252,0.07538691541701763,0.13715148430506224,2.018028169014083
