Project Tag,Seniority,Position,Location,n_registros,prob_mejorar,prob_empeorar,engagement_estacionario
CATPRO,Sr Level 2,Data Analyst,AR/CABA/BA,147,0.2793040293040293,0.1580182529335072,5.0
CATPRO,Sr Level 1,Visual Designer,CO/CUN/BOG,68,0.0,0.0029850746268656717,4.985074626865672
HOREXP,Sr Level 1,Project Manager,CL/RM/SCL,126,0.1,0.10366972477064221,4.599088838268798
VGRDIN,Ssr,Business Analyst,CO/CUN/BOG,126,0.33522727272727276,0.15985264735264737,4.503661191371463
ODYQST,Jr,Business Analyst,CL/RM/SCL,126,0.44306220095693777,0.046696528555431126,4.48
CATPRO,Sr Level 3,Solutions Architect,MX/JALISCO/GDL,88,0.3427878787878788,0.10600000000000001,4.321839080459769
ODYQST,Sr Level 1,Test Automation Engineer,AR/CABA/BA,126,0.18422619047619046,0.0758736559139785,4.313990973565447
NEXDEV,Sr Level 1,Test Automation Engineer,MX/CDMX/CDMX,43,0.37538461538461537,0.19352564102564104,4.187265917602999
NEXDEV,Jr,Software Developer,CL/RM/SCL,125,0.315566037735849,0.12054888507718695,4.185483870967742
CATPRO,Sr Level 1,Database Administrator,AR/CABA/BA,126,0.3,0.12313725490196077,4.17605907500972
NEXDEV,Sr Level 1,Test Automation Engineer,AR/CABA/BA,126,0.28937621832358673,0.16885964912280702,4.14400422211332
HOREXP,Sr Level 3,Solutions Architect,MX/JALISCO/GDL,124,0.3464285714285714,0.15384808853118712,4.1382113821138145
CATPRO,Sr Level 1,Business Analyst,CL/RM/SCL,126,0.28308270676691727,0.14900040799673603,4.079999999999999
ATLINT,Ssr,Software Developer,MX/CDMX/CDMX,135,0.30944444444444447,0.13612244897959186,4.034482758620696
NEXDEV,Sr Level 1,Software Developer,MX/CDMX/CDMX,40,0.52,0.24833333333333335,3.9999999999999996
CATPRO,Sr Level 1,Project Manager,CO/CUN/BOG,126,0.34504652435686917,0.18425013683634373,3.9762076833754207
NEXDEV,Sr Level 1,Business Analyst,CL/RM/SCL,126,0.25555555555555554,0.16524216524216526,3.9279999999999986
ECOSYS,Sr Level 1,Software Developer,CO/CUN/BOG,126,0.2574074074074074,0.17777777777777778,3.890459639942203
NEXDEV,Jr,Test Automation Engineer,MX/JALISCO/GDL,81,0.1726078799249531,0.22701688555347088,3.8375000000000004
CATPRO,Ssr,Data Analyst,MX/CDMX/CDMX,81,0.3682983682983683,0.24497574497574498,3.7745207424688108
CATPRO,Sr Level 1,Test Automation Engineer,CO/CUN/BOG,125,0.4233566433566434,0.19446153846153846,3.7594601869855975
CATPRO,Sr Level 1,User Experience Designer,MX/CDMX/CDMX,42,0.14285714285714285,0.24571428571428572,3.7066848567530695
CATPRO,Sr Level 1,User Experience Designer,AR/CABA/BA,126,0.2302083333333333,0.25918560606060603,3.7040000000000006
NEXDEV,Sr Level 1,User Experience Designer,AR/CABA/BA,126,0.2833333333333333,0.17581632653061224,3.6879999999999984
ECOSYS,Jr,Software Developer,MX/CDMX/CDMX,123,0.2441958041958042,0.07804846316474223,3.5964010282776355
NEXDEV,Sr Level 1,Quality Assurance Tester,CO/CUN/BOG,166,0.43281385281385276,0.24666666666666667,3.5575757575757576
VGRDIN,Jr,Software Developer,CO/ANT/MED,124,0.33785281385281385,0.18068027210884355,3.5411133415688685
VGRDIN,Sr Level 1,Software Developer,CO/CUN/BOG,126,0.36991452991452994,0.2897435897435897,3.4153846153846166
CATPRO,Sr Level 2,Database Administrator,MX/CDMX/CDMX,44,0.29473684210526313,0.14157894736842108,3.3915929203539825
ECOSYS,Sr Level 3,Solutions Architect,MX/JALISCO/GDL,72,0.09956989247311827,0.08126642771804063,3.3758389261744988
NEXDEV,Sr Level 1,Software Developer,AR/CABA/BA,251,0.34595686657974795,0.2766782229070365,3.3744678007268902
STYPRJ,Ssr,Test Automation Engineer,CO/CUN/BOG,126,0.3000584795321638,0.14432748538011694,3.2272231085733476
ODYQST,Sr Level 1,Software Developer,AR/CABA/BA,208,0.22323355558708088,0.19345460563931266,3.2245823203125603
VGRDIN,Jr,Test Automation Engineer,MX/CDMX/CDMX,120,0.20487804878048782,0.0805652342237708,3.147465437788017
CATPRO,Ssr,Quality Assurance Tester,MX/CDMX/CDMX,116,0.3441362473843292,0.3466868170192978,3.1466751511294926
VGRDIN,Jr,Software Developer,CO/CUN/BOG,126,0.2030344827586207,0.16104347826086957,3.1359999999999997
STYPRJ,Sr Level 2,Test Automation Engineer,CO/CUN/BOG,127,0.30443406904357667,0.26002641011129973,3.119047619047618
ECOSYS,Sr Level 2,Product Owner,MX/CDMX/CDMX,125,0.34099266156395486,0.2224460525155379,3.103163760803996
NEXDEV,Ssr,Test Automation Engineer,AR/CABA/BA,126,0.3021739130434783,0.16811594202898553,3.079800498753115
ODYQST,Sr Level 2,DevOps Engineer,AR/CABA/BA,126,0.30060808305524656,0.36599026977224974,3.0592312813441724
CATPRO,Ssr,Quality Assurance Tester,AR/CABA/BA,79,0.347020202020202,0.3013636363636364,3.0503576700351998
CATPRO,Ssr,Data Analyst,AR/CABA/BA,130,0.3075361075361075,0.2901335621335621,3.0400479247812555
ECOSYS,Ssr,Software Developer,CO/CUN/BOG,126,0.284625322997416,0.18237029706599225,3.0245835874065286
NEXDEV,Jr,Software Developer,AR/CABA/BA,252,0.21355096935584741,0.15303774953242494,2.997068161094729
ECOSYS,Sr Level 2,Software Developer,CO/CUN/BOG,127,0.26744421906693716,0.2022703818369453,2.9401033748859833
ATLINT,Sr Level 1,Quality Assurance Tester,MX/CDMX/CDMX,130,0.2857245484400657,0.40557545902373493,2.901779869261204
NEXDEV,Ssr,Quality Assurance Tester,CO/CUN/BOG,116,0.3297736369910283,0.3133968253968254,2.860879647187573
NEXDEV,Sr Level 1,Visual Designer,CO/CUN/BOG,125,0.22033860875966135,0.2466511266511267,2.8574774955660374
ATLINT,Jr,Software Developer,CO/ANT/MED,116,0.24739960500329167,0.23094140882159317,2.852173913043477
