feature,importance
Position_Solutions Architect,0.19532812
Location_CO/ANT/MED,0.09091318
Position_Cybersecurity Specialist,0.05384302
Seniority_Ssr,0.04918163
Seniority_Sr Level 2,0.0489762
Position_DevOps Engineer,0.04176954
Project Tag_STYPRJ,0.040559407
Project Tag_HOREXP,0.0387337
Position_Project Manager,0.03867851
Location_CO/CUN/BOG,0.037397105
Position_Visual Designer,0.033406477
Position_Data Analyst,0.028943624
Location_MX/CDMX/CDMX,0.02750845
Project Tag_CATPRO,0.026027916
Position_Test Automation Engineer,0.023701029
Project Tag_VGRDIN,0.023032056
Seniority_Sr Level 3,0.022410838
Location_CL/RM/SCL,0.02228494
Project Tag_ECOSYS,0.021835297
Position_Software Developer,0.020094078
Project Tag_NEXDEV,0.018143704
Seniority_Sr Level 1,0.017108113
Position_Quality Assurance Tester,0.01671932
Position_Database Administrator,0.014291056
Location_MX/JALISCO/GDL,0.0123185245
Project Tag_ODYQST,0.010769994
Position_User Experience Designer,0.010587929
Position_Product Owner,0.009301948
Position_Technology Consultant,0.0051121763
Position_Business Intelligence,0.0010221101
