feature,importance
Location_CO/CUN/BOG,0.0806864
Position_Database Administrator,0.060105912
Seniority_Ssr,0.05745778
Project Tag_NEXDEV,0.050721824
Position_Solutions Architect,0.046138596
Position_Software Developer,0.043352265
Position_Test Automation Engineer,0.043061715
Location_MX/CDMX/CDMX,0.042879246
Position_Visual Designer,0.04206283
Seniority_Sr Level 3,0.038738813
Position_User Experience Designer,0.037205223
Position_Project Manager,0.036863722
Project Tag_HOREXP,0.036529064
Project Tag_ECOSYS,0.035699725
Position_Data Analyst,0.03568525
Location_CO/ANT/MED,0.035402775
Seniority_Sr Level 2,0.034319438
Project Tag_CATPRO,0.03341538
Project Tag_STYPRJ,0.029896792
Project Tag_VGRDIN,0.02527744
Position_Business Intelligence,0.024606612
Position_Quality Assurance Tester,0.020400044
Project Tag_ODYQST,0.019901358
Location_CL/RM/SCL,0.016584782
Seniority_Sr Level 1,0.015889436
Position_Product Owner,0.013892115
Location_MX/JALISCO/GDL,0.013644823
Position_DevOps Engineer,0.012365771
Position_Cybersecurity Specialist,0.010142537
Position_Technology Consultant,0.0070724064
